,Patch,Original,Category,Tool,DIFF,COMP,Detected,Fixed,Consistent,sanity_check,mitigates,patch_link,original_link,diff_link,exploit_link
0,arbitrary_location_write_simple.bin,arbitrary_location_write_simple.sol,access_control,Elysium,True,N/A,0,0,False,failed,no,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/Elysium/access_control/arbitrary_location_write_simple/arbitrary_location_write_simple.rt.hex,https://github.com/smartbugs/smartbugs-curated/tree/main/dataset/access_control/arbitrary_location_write_simple.sol,n/a,https://github.com/ASSERT-KTH/sb-heists/tree/main/smartbugs-curated/0.4.x/test/access_control/arbitrary_location_write_simple_test.js
1,incorrect_constructor_name1.bin,incorrect_constructor_name1.sol,access_control,Elysium,True,N/A,1,1,True,passed,yes,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/Elysium/access_control/incorrect_constructor_name1/incorrect_constructor_name1.rt.hex,https://github.com/smartbugs/smartbugs-curated/tree/main/dataset/access_control/incorrect_constructor_name1.sol,n/a,https://github.com/ASSERT-KTH/sb-heists/tree/main/smartbugs-curated/0.4.x/test/access_control/incorrect_constructor_name1_test.js
2,incorrect_constructor_name2.bin,incorrect_constructor_name2.sol,access_control,Elysium,True,N/A,1,1,True,passed,yes,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/Elysium/access_control/incorrect_constructor_name2/incorrect_constructor_name2.rt.hex,https://github.com/smartbugs/smartbugs-curated/tree/main/dataset/access_control/incorrect_constructor_name2.sol,n/a,https://github.com/ASSERT-KTH/sb-heists/tree/main/smartbugs-curated/0.4.x/test/access_control/incorrect_constructor_name2_test.js
3,incorrect_constructor_name3.bin,incorrect_constructor_name3.sol,access_control,Elysium,True,N/A,1,1,True,passed,yes,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/Elysium/access_control/incorrect_constructor_name3/incorrect_constructor_name3.rt.hex,https://github.com/smartbugs/smartbugs-curated/tree/main/dataset/access_control/incorrect_constructor_name3.sol,n/a,https://github.com/ASSERT-KTH/sb-heists/tree/main/smartbugs-curated/0.4.x/test/access_control/incorrect_constructor_name3_test.js
4,mapping_write.bin,mapping_write.sol,access_control,Elysium,True,N/A,1,1,True,passed,yes,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/Elysium/access_control/mapping_write/mapping_write.rt.hex,https://github.com/smartbugs/smartbugs-curated/tree/main/dataset/access_control/mapping_write.sol,n/a,https://github.com/ASSERT-KTH/sb-heists/tree/main/smartbugs-curated/0.4.x/test/access_control/mapping_write_test.js
5,multiowned_vulnerable.bin,multiowned_vulnerable.sol,access_control,Elysium,False,N/A,,,,passed,no,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/Elysium/access_control/multiowned_vulnerable/multiowned_vulnerable.rt.hex,https://github.com/smartbugs/smartbugs-curated/tree/main/dataset/access_control/multiowned_vulnerable.sol,n/a,https://github.com/ASSERT-KTH/sb-heists/tree/main/smartbugs-curated/0.4.x/test/access_control/multiowned_vulnerable_test.js
6,mycontract.bin,mycontract.sol,access_control,Elysium,True,N/A,1,1,True,passed,yes,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/Elysium/access_control/mycontract/mycontract.rt.hex,https://github.com/smartbugs/smartbugs-curated/tree/main/dataset/access_control/mycontract.sol,n/a,https://github.com/ASSERT-KTH/sb-heists/tree/main/smartbugs-curated/0.4.x/test/access_control/mycontract_test.js
7,phishable.bin,phishable.sol,access_control,Elysium,True,N/A,1,1,True,passed,yes,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/Elysium/access_control/phishable/phishable.rt.hex,https://github.com/smartbugs/smartbugs-curated/tree/main/dataset/access_control/phishable.sol,n/a,https://github.com/ASSERT-KTH/sb-heists/tree/main/smartbugs-curated/0.4.x/test/access_control/phishable_test.js
8,proxy.bin,proxy.sol,access_control,Elysium,True,N/A,1,1,True,passed,yes,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/Elysium/access_control/proxy/proxy.rt.hex,https://github.com/smartbugs/smartbugs-curated/tree/main/dataset/access_control/proxy.sol,n/a,https://github.com/ASSERT-KTH/sb-heists/tree/main/smartbugs-curated/0.4.x/test/access_control/proxy_test.js
9,rubixi.bin,rubixi.sol,access_control,Elysium,True,N/A,0,0,False,non-exploitable,non-exploitable,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/Elysium/access_control/rubixi/rubixi.rt.hex,https://github.com/smartbugs/smartbugs-curated/tree/main/dataset/access_control/rubixi.sol,n/a,non-exploitable
10,simple_suicide.bin,simple_suicide.sol,access_control,Elysium,True,N/A,1,1,True,failed,,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/Elysium/access_control/simple_suicide/simple_suicide.rt.hex,https://github.com/smartbugs/smartbugs-curated/tree/main/dataset/access_control/simple_suicide.sol,n/a,https://github.com/ASSERT-KTH/sb-heists/tree/main/smartbugs-curated/0.4.x/test/access_control/simple_suicide_test.js
11,unprotected0.bin,unprotected0.sol,access_control,Elysium,False,N/A,,,,passed,no,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/Elysium/access_control/unprotected0/unprotected0.rt.hex,https://github.com/smartbugs/smartbugs-curated/tree/main/dataset/access_control/unprotected0.sol,n/a,https://github.com/ASSERT-KTH/sb-heists/tree/main/smartbugs-curated/0.4.x/test/access_control/unprotected0_test.js
12,wallet_02_refund_nosub.bin,wallet_02_refund_nosub.sol,access_control,Elysium,False,N/A,,,,passed,no,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/Elysium/access_control/wallet_02_refund_nosub/wallet_02_refund_nosub.rt.hex,https://github.com/smartbugs/smartbugs-curated/tree/main/dataset/access_control/wallet_02_refund_nosub.sol,n/a,https://github.com/ASSERT-KTH/sb-heists/tree/main/smartbugs-curated/0.4.x/test/access_control/wallet_02_refund_nosub_test.js
13,wallet_03_wrong_constructor.bin,wallet_03_wrong_constructor.sol,access_control,Elysium,True,N/A,1,1,True,passed,yes,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/Elysium/access_control/wallet_03_wrong_constructor/wallet_03_wrong_constructor.rt.hex,https://github.com/smartbugs/smartbugs-curated/tree/main/dataset/access_control/wallet_03_wrong_constructor.sol,n/a,https://github.com/ASSERT-KTH/sb-heists/tree/main/smartbugs-curated/0.4.x/test/access_control/wallet_03_wrong_constructor_test.js
14,wallet_04_confused_sign.bin,wallet_04_confused_sign.sol,access_control,Elysium,True,N/A,1,1,True,failed,,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/Elysium/access_control/wallet_04_confused_sign/wallet_04_confused_sign.rt.hex,https://github.com/smartbugs/smartbugs-curated/tree/main/dataset/access_control/wallet_04_confused_sign.sol,n/a,https://github.com/ASSERT-KTH/sb-heists/tree/main/smartbugs-curated/0.4.x/test/access_control/wallet_04_confused_sign_test.js
15,BECToken.bin,BECToken.sol,arithmetic,Elysium,False,N/A,,,,passed,no,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/Elysium/arithmetic/BECToken/BECToken.rt.hex,https://github.com/smartbugs/smartbugs-curated/tree/main/dataset/arithmetic/BECToken.sol,n/a,https://github.com/ASSERT-KTH/sb-heists/tree/main/smartbugs-curated/0.4.x/test/arithmetic/BECToken_test.js
16,insecure_transfer.bin,insecure_transfer.sol,arithmetic,Elysium,True,N/A,1,1,True,non-exploitable,non-exploitable,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/Elysium/arithmetic/insecure_transfer/insecure_transfer.rt.hex,https://github.com/smartbugs/smartbugs-curated/tree/main/dataset/arithmetic/insecure_transfer.sol,n/a,non-exploitable
17,integer_overflow_1.bin,integer_overflow_1.sol,arithmetic,Elysium,True,N/A,1,1,True,passed,yes,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/Elysium/arithmetic/integer_overflow_1/integer_overflow_1.rt.hex,https://github.com/smartbugs/smartbugs-curated/tree/main/dataset/arithmetic/integer_overflow_1.sol,n/a,https://github.com/ASSERT-KTH/sb-heists/tree/main/smartbugs-curated/0.4.x/test/arithmetic/integer_overflow_1_test.js
18,integer_overflow_add.bin,integer_overflow_add.sol,arithmetic,Elysium,True,N/A,1,1,True,failed,,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/Elysium/arithmetic/integer_overflow_add/integer_overflow_add.rt.hex,https://github.com/smartbugs/smartbugs-curated/tree/main/dataset/arithmetic/integer_overflow_add.sol,n/a,https://github.com/ASSERT-KTH/sb-heists/tree/main/smartbugs-curated/0.4.x/test/arithmetic/integer_overflow_add_test.js
19,integer_overflow_benign_1.bin,integer_overflow_benign_1.sol,arithmetic,Elysium,False,N/A,,,,non-exploitable,non-exploitable,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/Elysium/arithmetic/integer_overflow_benign_1/integer_overflow_benign_1.rt.hex,https://github.com/smartbugs/smartbugs-curated/tree/main/dataset/arithmetic/integer_overflow_benign_1.sol,n/a,non-exploitable
20,integer_overflow_mapping_sym_1.bin,integer_overflow_mapping_sym_1.sol,arithmetic,Elysium,True,N/A,1,1,True,passed,yes,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/Elysium/arithmetic/integer_overflow_mapping_sym_1/integer_overflow_mapping_sym_1.rt.hex,https://github.com/smartbugs/smartbugs-curated/tree/main/dataset/arithmetic/integer_overflow_mapping_sym_1.sol,n/a,https://github.com/ASSERT-KTH/sb-heists/tree/main/smartbugs-curated/0.4.x/test/arithmetic/integer_overflow_mapping_sym_1_test.js
21,integer_overflow_minimal.bin,integer_overflow_minimal.sol,arithmetic,Elysium,True,N/A,1,1,True,passed,yes,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/Elysium/arithmetic/integer_overflow_minimal/integer_overflow_minimal.rt.hex,https://github.com/smartbugs/smartbugs-curated/tree/main/dataset/arithmetic/integer_overflow_minimal.sol,n/a,https://github.com/ASSERT-KTH/sb-heists/tree/main/smartbugs-curated/0.4.x/test/arithmetic/integer_overflow_minimal_test.js
22,integer_overflow_mul.bin,integer_overflow_mul.sol,arithmetic,Elysium,True,N/A,1,1,True,passed,yes,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/Elysium/arithmetic/integer_overflow_mul/integer_overflow_mul.rt.hex,https://github.com/smartbugs/smartbugs-curated/tree/main/dataset/arithmetic/integer_overflow_mul.sol,n/a,https://github.com/ASSERT-KTH/sb-heists/tree/main/smartbugs-curated/0.4.x/test/arithmetic/integer_overflow_mul_test.js
23,integer_overflow_multitx_multifunc_feasible.bin,integer_overflow_multitx_multifunc_feasible.sol,arithmetic,Elysium,True,N/A,1,1,True,passed,yes,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/Elysium/arithmetic/integer_overflow_multitx_multifunc_feasible/integer_overflow_multitx_multifunc_feasible.rt.hex,https://github.com/smartbugs/smartbugs-curated/tree/main/dataset/arithmetic/integer_overflow_multitx_multifunc_feasible.sol,n/a,https://github.com/ASSERT-KTH/sb-heists/tree/main/smartbugs-curated/0.4.x/test/arithmetic/integer_overflow_multitx_multifunc_feasible_test.js
24,integer_overflow_multitx_onefunc_feasible.bin,integer_overflow_multitx_onefunc_feasible.sol,arithmetic,Elysium,True,N/A,1,1,True,passed,yes,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/Elysium/arithmetic/integer_overflow_multitx_onefunc_feasible/integer_overflow_multitx_onefunc_feasible.rt.hex,https://github.com/smartbugs/smartbugs-curated/tree/main/dataset/arithmetic/integer_overflow_multitx_onefunc_feasible.sol,n/a,https://github.com/ASSERT-KTH/sb-heists/tree/main/smartbugs-curated/0.4.x/test/arithmetic/integer_overflow_multitx_onefunc_feasible_test.js
25,overflow_simple_add.bin,overflow_simple_add.sol,arithmetic,Elysium,True,N/A,1,1,True,failed,,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/Elysium/arithmetic/overflow_simple_add/overflow_simple_add.rt.hex,https://github.com/smartbugs/smartbugs-curated/tree/main/dataset/arithmetic/overflow_simple_add.sol,n/a,https://github.com/ASSERT-KTH/sb-heists/tree/main/smartbugs-curated/0.4.x/test/arithmetic/overflow_simple_add_test.js
26,overflow_single_tx.bin,overflow_single_tx.sol,arithmetic,Elysium,True,N/A,3,3,True,failed,,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/Elysium/arithmetic/overflow_single_tx/overflow_single_tx.rt.hex,https://github.com/smartbugs/smartbugs-curated/tree/main/dataset/arithmetic/overflow_single_tx.sol,n/a,https://github.com/ASSERT-KTH/sb-heists/tree/main/smartbugs-curated/0.4.x/test/arithmetic/overflow_single_tx_test.js
27,timelock.bin,timelock.sol,arithmetic,Elysium,True,N/A,2,2,True,failed,,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/Elysium/arithmetic/timelock/timelock.rt.hex,https://github.com/smartbugs/smartbugs-curated/tree/main/dataset/arithmetic/timelock.sol,n/a,https://github.com/ASSERT-KTH/sb-heists/tree/main/smartbugs-curated/0.4.x/test/arithmetic/timelock_test.js
28,token.bin,token.sol,arithmetic,Elysium,True,N/A,3,3,True,failed,,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/Elysium/arithmetic/token/token.rt.hex,https://github.com/smartbugs/smartbugs-curated/tree/main/dataset/arithmetic/token.sol,n/a,https://github.com/ASSERT-KTH/sb-heists/tree/main/smartbugs-curated/0.4.x/test/arithmetic/token_test.js
29,tokensalechallenge.bin,tokensalechallenge.sol,arithmetic,Elysium,True,N/A,3,3,True,passed,yes,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/Elysium/arithmetic/tokensalechallenge/tokensalechallenge.rt.hex,https://github.com/smartbugs/smartbugs-curated/tree/main/dataset/arithmetic/tokensalechallenge.sol,n/a,https://github.com/ASSERT-KTH/sb-heists/tree/main/smartbugs-curated/0.4.x/test/arithmetic/tokensalechallenge_test.js
30,blackjack.bin,blackjack.sol,bad_randomness,Elysium,True,N/A,0,0,False,passed,yes,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/Elysium/bad_randomness/blackjack/blackjack.rt.hex,https://github.com/smartbugs/smartbugs-curated/tree/main/dataset/bad_randomness/blackjack.sol,n/a,https://github.com/ASSERT-KTH/sb-heists/tree/main/smartbugs-curated/0.4.x/test/bad_randomness/blackjack_test.js
31,etheraffle.bin,etheraffle.sol,bad_randomness,Elysium,True,N/A,0,0,False,failed,,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/Elysium/bad_randomness/etheraffle/etheraffle.rt.hex,https://github.com/smartbugs/smartbugs-curated/tree/main/dataset/bad_randomness/etheraffle.sol,n/a,https://github.com/ASSERT-KTH/sb-heists/tree/main/smartbugs-curated/0.4.x/test/bad_randomness/etheraffle_test.js
32,guess_the_random_number.bin,guess_the_random_number.sol,bad_randomness,Elysium,True,N/A,0,0,False,passed,yes,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/Elysium/bad_randomness/guess_the_random_number/guess_the_random_number.rt.hex,https://github.com/smartbugs/smartbugs-curated/tree/main/dataset/bad_randomness/guess_the_random_number.sol,n/a,https://github.com/ASSERT-KTH/sb-heists/tree/main/smartbugs-curated/0.4.x/test/bad_randomness/guess_the_random_number_test.js
33,lottery.bin,lottery.sol,bad_randomness,Elysium,False,N/A,,,,non-exploitable,non-exploitable,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/Elysium/bad_randomness/lottery/lottery.rt.hex,https://github.com/smartbugs/smartbugs-curated/tree/main/dataset/bad_randomness/lottery.sol,n/a,non-exploitable
34,lucky_doubler.bin,lucky_doubler.sol,bad_randomness,Elysium,True,N/A,0,0,False,non-exploitable,non-exploitable,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/Elysium/bad_randomness/lucky_doubler/lucky_doubler.rt.hex,https://github.com/smartbugs/smartbugs-curated/tree/main/dataset/bad_randomness/lucky_doubler.sol,n/a,non-exploitable
35,old_blockhash.bin,old_blockhash.sol,bad_randomness,Elysium,True,N/A,0,0,False,passed,yes,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/Elysium/bad_randomness/old_blockhash/old_blockhash.rt.hex,https://github.com/smartbugs/smartbugs-curated/tree/main/dataset/bad_randomness/old_blockhash.sol,n/a,https://github.com/ASSERT-KTH/sb-heists/tree/main/smartbugs-curated/0.4.x/test/bad_randomness/old_blockhash_test.js
36,random_number_generator.bin,random_number_generator.sol,bad_randomness,Elysium,False,N/A,,,,non-exploitable,non-exploitable,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/Elysium/bad_randomness/random_number_generator/random_number_generator.rt.hex,https://github.com/smartbugs/smartbugs-curated/tree/main/dataset/bad_randomness/random_number_generator.sol,n/a,non-exploitable
37,auction.bin,auction.sol,denial_of_service,Elysium,False,N/A,,,,passed,no,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/Elysium/denial_of_service/auction/auction.rt.hex,https://github.com/smartbugs/smartbugs-curated/tree/main/dataset/denial_of_service/auction.sol,n/a,https://github.com/ASSERT-KTH/sb-heists/tree/main/smartbugs-curated/0.4.x/test/denial_of_service/auction_test.js
38,dos_address.bin,dos_address.sol,denial_of_service,Elysium,True,N/A,0,0,False,failed,,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/Elysium/denial_of_service/dos_address/dos_address.rt.hex,https://github.com/smartbugs/smartbugs-curated/tree/main/dataset/denial_of_service/dos_address.sol,n/a,https://github.com/ASSERT-KTH/sb-heists/tree/main/smartbugs-curated/0.4.x/test/denial_of_service/dos_address_test.js
39,dos_number.bin,dos_number.sol,denial_of_service,Elysium,False,N/A,,,,passed,no,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/Elysium/denial_of_service/dos_number/dos_number.rt.hex,https://github.com/smartbugs/smartbugs-curated/tree/main/dataset/denial_of_service/dos_number.sol,n/a,https://github.com/ASSERT-KTH/sb-heists/tree/main/smartbugs-curated/0.4.x/test/denial_of_service/dos_number_test.js
40,dos_simple.bin,dos_simple.sol,denial_of_service,Elysium,False,N/A,,,,passed,no,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/Elysium/denial_of_service/dos_simple/dos_simple.rt.hex,https://github.com/smartbugs/smartbugs-curated/tree/main/dataset/denial_of_service/dos_simple.sol,n/a,https://github.com/ASSERT-KTH/sb-heists/tree/main/smartbugs-curated/0.4.x/test/denial_of_service/dos_simple_test.js
41,list_dos.bin,list_dos.sol,denial_of_service,Elysium,True,N/A,0,0,False,non-exploitable,non-exploitable,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/Elysium/denial_of_service/list_dos/list_dos.rt.hex,https://github.com/smartbugs/smartbugs-curated/tree/main/dataset/denial_of_service/list_dos.sol,n/a,non-exploitable
42,send_loop.bin,send_loop.sol,denial_of_service,Elysium,False,N/A,,,,non-exploitable,non-exploitable,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/Elysium/denial_of_service/send_loop/send_loop.rt.hex,https://github.com/smartbugs/smartbugs-curated/tree/main/dataset/denial_of_service/send_loop.sol,n/a,non-exploitable
43,ERC20.bin,ERC20.sol,front_running,Elysium,False,N/A,,,,passed,no,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/Elysium/front_running/ERC20/ERC20.rt.hex,https://github.com/smartbugs/smartbugs-curated/tree/main/dataset/front_running/ERC20.sol,n/a,https://github.com/ASSERT-KTH/sb-heists/tree/main/smartbugs-curated/0.4.x/test/front_running/ERC20_test.js
44,FindThisHash.bin,FindThisHash.sol,front_running,Elysium,False,N/A,,,,non-exploitable,non-exploitable,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/Elysium/front_running/FindThisHash/FindThisHash.rt.hex,https://github.com/smartbugs/smartbugs-curated/tree/main/dataset/front_running/FindThisHash.sol,n/a,non-exploitable
45,eth_tx_order_dependence_minimal.bin,eth_tx_order_dependence_minimal.sol,front_running,Elysium,False,N/A,,,,passed,no,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/Elysium/front_running/eth_tx_order_dependence_minimal/eth_tx_order_dependence_minimal.rt.hex,https://github.com/smartbugs/smartbugs-curated/tree/main/dataset/front_running/eth_tx_order_dependence_minimal.sol,n/a,https://github.com/ASSERT-KTH/sb-heists/tree/main/smartbugs-curated/0.4.x/test/front_running/eth_tx_order_dependence_minimal_test.js
46,odds_and_evens.bin,odds_and_evens.sol,front_running,Elysium,True,N/A,0,0,False,passed,yes,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/Elysium/front_running/odds_and_evens/odds_and_evens.rt.hex,https://github.com/smartbugs/smartbugs-curated/tree/main/dataset/front_running/odds_and_evens.sol,n/a,https://github.com/ASSERT-KTH/sb-heists/tree/main/smartbugs-curated/0.4.x/test/front_running/odds_and_evens_test.js
47,crypto_roulette.bin,crypto_roulette.sol,other,Elysium,True,N/A,0,0,False,failed,,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/Elysium/other/crypto_roulette/crypto_roulette.rt.hex,https://github.com/smartbugs/smartbugs-curated/tree/main/dataset/other/crypto_roulette.sol,n/a,https://github.com/ASSERT-KTH/sb-heists/tree/main/smartbugs-curated/0.4.x/test/other/crypto_roulette_test.js
48,name_registrar.bin,name_registrar.sol,other,Elysium,False,N/A,,,,passed,no,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/Elysium/other/name_registrar/name_registrar.rt.hex,https://github.com/smartbugs/smartbugs-curated/tree/main/dataset/other/name_registrar.sol,n/a,https://github.com/ASSERT-KTH/sb-heists/tree/main/smartbugs-curated/0.4.x/test/other/name_registrar_test.js
49,0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.bin,0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.sol,reentrancy,Elysium,True,N/A,1,1,True,non-exploitable,non-exploitable,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/Elysium/reentrancy/0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839/0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.rt.hex,https://github.com/smartbugs/smartbugs-curated/tree/main/dataset/reentrancy/0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.sol,n/a,non-exploitable
50,0x7541b76cb60f4c60af330c208b0623b7f54bf615.bin,0x7541b76cb60f4c60af330c208b0623b7f54bf615.sol,reentrancy,Elysium,True,N/A,0,0,False,failed,,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/Elysium/reentrancy/0x7541b76cb60f4c60af330c208b0623b7f54bf615/0x7541b76cb60f4c60af330c208b0623b7f54bf615.rt.hex,https://github.com/smartbugs/smartbugs-curated/tree/main/dataset/reentrancy/0x7541b76cb60f4c60af330c208b0623b7f54bf615.sol,n/a,https://github.com/ASSERT-KTH/sb-heists/tree/main/smartbugs-curated/0.4.x/test/reentrancy/0x7541b76cb60f4c60af330c208b0623b7f54bf615_test.js
51,0xf015c35649c82f5467c9c74b7f28ee67665aad68.bin,0xf015c35649c82f5467c9c74b7f28ee67665aad68.sol,reentrancy,Elysium,True,N/A,0,0,False,failed,,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/Elysium/reentrancy/0xf015c35649c82f5467c9c74b7f28ee67665aad68/0xf015c35649c82f5467c9c74b7f28ee67665aad68.rt.hex,https://github.com/smartbugs/smartbugs-curated/tree/main/dataset/reentrancy/0xf015c35649c82f5467c9c74b7f28ee67665aad68.sol,n/a,https://github.com/ASSERT-KTH/sb-heists/tree/main/smartbugs-curated/0.4.x/test/reentrancy/0xf015c35649c82f5467c9c74b7f28ee67665aad68_test.js
52,etherbank.bin,etherbank.sol,reentrancy,Elysium,True,N/A,1,1,True,non-exploitable,non-exploitable,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/Elysium/reentrancy/etherbank/etherbank.rt.hex,https://github.com/smartbugs/smartbugs-curated/tree/main/dataset/reentrancy/etherbank.sol,n/a,non-exploitable
53,etherstore.bin,etherstore.sol,reentrancy,Elysium,True,N/A,1,1,True,failed,,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/Elysium/reentrancy/etherstore/etherstore.rt.hex,https://github.com/smartbugs/smartbugs-curated/tree/main/dataset/reentrancy/etherstore.sol,n/a,https://github.com/ASSERT-KTH/sb-heists/tree/main/smartbugs-curated/0.4.x/test/reentrancy/etherstore_test.js
54,modifier_reentrancy.bin,modifier_reentrancy.sol,reentrancy,Elysium,False,N/A,,,,passed,no,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/Elysium/reentrancy/modifier_reentrancy/modifier_reentrancy.rt.hex,https://github.com/smartbugs/smartbugs-curated/tree/main/dataset/reentrancy/modifier_reentrancy.sol,n/a,https://github.com/ASSERT-KTH/sb-heists/tree/main/smartbugs-curated/0.4.x/test/reentrancy/modifier_reentrancy_test.js
55,reentrance.bin,reentrance.sol,reentrancy,Elysium,True,N/A,1,1,True,failed,,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/Elysium/reentrancy/reentrance/reentrance.rt.hex,https://github.com/smartbugs/smartbugs-curated/tree/main/dataset/reentrancy/reentrance.sol,n/a,https://github.com/ASSERT-KTH/sb-heists/tree/main/smartbugs-curated/0.4.x/test/reentrancy/reentrance_test.js
56,reentrancy_bonus.bin,reentrancy_bonus.sol,reentrancy,Elysium,True,N/A,1,1,True,failed,,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/Elysium/reentrancy/reentrancy_bonus/reentrancy_bonus.rt.hex,https://github.com/smartbugs/smartbugs-curated/tree/main/dataset/reentrancy/reentrancy_bonus.sol,n/a,https://github.com/ASSERT-KTH/sb-heists/tree/main/smartbugs-curated/0.4.x/test/reentrancy/reentrancy_bonus_test.js
57,reentrancy_cross_function.bin,reentrancy_cross_function.sol,reentrancy,Elysium,True,N/A,1,1,True,non-exploitable,non-exploitable,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/Elysium/reentrancy/reentrancy_cross_function/reentrancy_cross_function.rt.hex,https://github.com/smartbugs/smartbugs-curated/tree/main/dataset/reentrancy/reentrancy_cross_function.sol,n/a,non-exploitable
58,reentrancy_dao.bin,reentrancy_dao.sol,reentrancy,Elysium,True,N/A,1,1,True,failed,,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/Elysium/reentrancy/reentrancy_dao/reentrancy_dao.rt.hex,https://github.com/smartbugs/smartbugs-curated/tree/main/dataset/reentrancy/reentrancy_dao.sol,n/a,https://github.com/ASSERT-KTH/sb-heists/tree/main/smartbugs-curated/0.4.x/test/reentrancy/reentrancy_dao_test.js
59,reentrancy_insecure.bin,reentrancy_insecure.sol,reentrancy,Elysium,True,N/A,1,1,True,non-exploitable,non-exploitable,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/Elysium/reentrancy/reentrancy_insecure/reentrancy_insecure.rt.hex,https://github.com/smartbugs/smartbugs-curated/tree/main/dataset/reentrancy/reentrancy_insecure.sol,n/a,non-exploitable
